(8*9)-8=,64,Y,Practice
(5*9)-1=,44,Y,Practice
(8*2)-8=,2,N,Practice
(9*1)+3=,12,Y,Practice
(5*9)-5=,45,N,Practice
(2/1)-2=,6,N,Practice
(1/1)+9=,10,Y,Practice
(2*6)-4=,6,N,Practice
(4*4)-4=,8,Y,Practice
(4*5)-5=,11,N,Practice
(5*8)-9=,40,N,Practice
(6/3)+1=,3,Y,Practice
(6/6)-0=,1,Y,Practice
(3*7)-4=,17,Y,Practice
(5*6)+1=,31,Y,Practice
(4/2)+9=,12,N,Practice
(7/1)+6=,13,Y,Practice
(1/1)+5=,5,N,Real trail
(2*9)-9=,9,Y,Real trail
(8/2)+9=,7,N,Real trail
(5*5)+7=,32,Y,Real trail
(9/1)+2=,10,N,Real trail
(8/2)-2=,2,Y,Real trail
(2/2)+7=,9,N,Real trail
(9*1)-8=,1,Y,Real trail
(4/2)-1=,1,Y,Real trail
(4*5)-4=,15,N,Real trail
(3*4)/6=,6,N,Real trail
(3*3)-1=,8,Y,Real trail
(5/5)+3=,1,N,Real trail
(5*5)-6=,18,N,Real trail
(3*6)/2=,8,N,Real trail
(3*2)-4=,2,Y,Real trail
(4/4)+4=,8,N,Real trail
(3*8)-1=,23,Y,Real trail
(9*1)-5=,4,Y,Real trail
(6/1)+2=,8,Y,Real trail
(5*6)-9=,31,N,Real trail
(5*6)-5=,30,N,Real trail
(1*9)+7=,19,N,Real trail
(8*2)+2=,16,N,Real trail
(5*6)-4=,26,Y,Real trail
(4/4)-1=,0,Y,Real trail
(4*6)-5=,19,Y,Real trail
(6*3)+5=,21,N,Real trail
(5/5)+5=,6,Y,Real trail
(5*2)/2=,5,Y,Real trail
(9/1)+4=,12,N,Real trail
(4*3)+4=,16,Y,Real trail
(1*8)-6=,0,N,Real trail
(5/5)-1=,0,Y,Real trail
(3*4)/2=,5,N,Real trail
(4/1)-2=,1,N,Real trail
(4*5)+8=,28,Y,Real trail
(8/2)+2=,2,N,Real trail
(4*2)+6=,14,Y,Real trail
(3/3)+2=,3,Y,Real trail
(8/8)+3=,4,Y,Real trail
(5*7)+4=,30,N,Real trail
(3*8)-4=,18,N,Real trail
(5*7)-5=,30,Y,Real trail
(1*2)+1=,3,Y,Real trail
(2*4)+8=,16,Y,Real trail
(2/2)-1=,1,N,Real trail
(8*2)-2=,14,Y,Real trail
(5*5)-5=,20,Y,Real trail
(5*8)-9=,31,Y,Real trail
(5/5)-1=,4,N,Real trail
(2*7)-5=,6,N,Real trail
(3/3)+6=,9,N,Real trail
(1*1)+9=,9,N,Real trail
(1/1)-1=,2,N,Real trail
(1*3)+1=,3,N,Real trail
(8*2)+5=,22,N,Real trail
(7*3)-3=,18,Y,Real trail
(7*2)-4=,10,Y,Real trail
(9/1)+5=,18,N,Real trail
(8*8)-8=,56,Y,Real trail
(5*8)-4=,36,Y,Real trail
(4/4)+8=,12,N,Real trail
(4/4)-1=,1,N,Real trail
(5*5)-4=,21,Y,Real trail
(2*2)-1=,3,Y,Real trail
(8/2)-1=,1,N,Real trail
(4*2)-6=,2,Y,Real trail
(5*5)+5=,20,N,Real trail
(3/3)+2=,1,N,Real trail
(5*5)-9=,11,N,Real trail
(9*1)-9=,1,N,Real trail
(1*4)+4=,0,N,Real trail
(9*1)+1=,10,Y,Real trail
(8/4)+3=,5,Y,Real trail
(10*2)-5=,15,Y,Real trail
(2*3)+8=,14,Y,Real trail
(4/4)+7=,12,N,Real trail
(5*8)-5=,45,N,Real trail
(4/4)+1=,2,Y,Real trail
(2*5)-5=,2,N,Real trail
(5/5)+1=,6,N,Real trail
(3*5)-6=,9,Y,Real trail
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
